portalDocumentType,portalNumber,mongoId,sapDocEntry,sapDocNum,status,createdAt
PR,PR-20260619-0001,6a358f9320118278034f25d3,31,2600007,Fully Ordered,2026-06-19T18:50:59.828Z
PR,PR-20260619-0002,6a359fb3c9d21ec43d781767,32,2600008,Partially Ordered,2026-06-19T19:59:47.370Z
PR,PR-20260621-0001,6a37cce8694957a38d894f34,36,2600010,Partially Ordered,2026-06-21T11:37:12.248Z
PR,PR-20260628-0001,6a40f36e6904cf172fd7df20,,,Rejected,2026-06-28T10:11:58.724Z
PR,PR-20260628-0002,6a40f4bf6904cf172fd7dfad,42,2600014,Created in SAP,2026-06-28T10:17:35.174Z
PR,PR-20260628-0003,6a40f5a2c125d9c0ab632a32,41,2600013,Fully Ordered,2026-06-28T10:21:22.682Z
PR,PR-20260628-0004,6a40fd8e448f6245635aafe5,38,2600011,Partially Ordered,2026-06-28T10:55:10.074Z
PR,PR-20260628-0005,6a41631efe378908f8ca92b2,40,2600012,Fully Ordered,2026-06-28T18:08:30.806Z
PR,PR-20260629-0001,6a42468ed8719b8b0de89cf8,44,2600015,Fully Ordered,2026-06-29T10:18:54.639Z
PR,PR-20260629-0002,6a42cf64f883f4dbe1d5fd0c,47,2600016,Fully Ordered,2026-06-29T20:02:44.971Z
PR,PR-20260630-0001,6a43a68df3d9b4f054dc8f66,49,2600017,Fully Ordered,2026-06-30T11:20:45.291Z
PR,PR-20260630-0002,6a43b9d3f3d9b4f054dc93ef,50,2600018,Partially Ordered,2026-06-30T12:42:59.198Z
PR,PR-20260701-0001,6a44e441f3d9b4f054dc9b70,54,2600019,Fully Ordered,2026-07-01T09:56:17.546Z
PR,PR-20260702-0001,6a465da1f3d9b4f054dca3e2,56,2600020,Fully Ordered,2026-07-02T12:46:25.208Z
PR,PR-20260705-0001,6a49ff78fd1ba4b5048846f2,58,2600021,Created in SAP,2026-07-05T06:53:44.889Z
PR,PR-20260705-0002,6a49ffd2fd1ba4b504884819,60,2600022,Fully Ordered,2026-07-05T06:55:14.280Z
PR,PR-20260712-0001,6a53686ef4f90f867f12bb37,62,2600023,Fully Ordered,2026-07-12T10:11:58.331Z
PR,PR-20260713-0001,6a54b8bf0bec1447ca845df3,64,2600024,Created in SAP,2026-07-13T10:06:55.194Z
PR,PR-20260713-0002,6a54b9600bec1447ca845f41,66,2600025,Fully Ordered,2026-07-13T10:09:36.756Z
PO,PO-20260523-0001,6a115a370bf49fa6b479ccd9,,,Failed to Create in SAP,2026-05-23T07:41:43.225Z
PO,PO-20260523-0002,6a11670ec5661ef1c057d1c3,458,2600016,Created in SAP,2026-05-23T08:36:30.056Z
PO,PO-20260523-0003,6a11941c8f3680bbac697c16,489,2600023,Created in SAP,2026-05-23T11:48:44.843Z
PO,PO-20260525-0001,6a13f921d6053ce48e563639,491,2600024,Created in SAP,2026-05-25T07:24:17.743Z
PO,PO-20260531-0001,6a1c1aeee6afd98e3ceacda2,494,2600025,Created in SAP,2026-05-31T11:26:38.146Z
PO,PO-20260531-0002,6a1c2336e6afd98e3cead44b,,,rejected,2026-05-31T12:01:58.759Z
PO,PO-20260531-0003,6a1c2af0799a39d0e9ac24dc,497,2600026,Created in SAP,2026-05-31T12:34:56.873Z
PO,PO-20260531-0004,6a1c30f5ad8d46680c0af42a,499,2600027,Created in SAP,2026-05-31T13:00:37.058Z
PO,PO-20260601-0001,6a1d2d93f4c3f40ee66eddf5,,,Failed to Create in SAP,2026-06-01T06:58:27.233Z
PO,PO-20260601-0002,6a1d3110f4c3f40ee66edf87,503,2600028,Created in SAP,2026-06-01T07:13:20.453Z
PO,PO-20260602-0001,6a1e8be4ebb29d47dc6323b8,507,2600029,Created in SAP,2026-06-02T07:53:08.562Z
PO,PO-20260602-0002,6a1e8fd1ebb29d47dc632831,,,failed_sap,2026-06-02T08:09:53.779Z
PO,PO-20260602-0003,6a1e98caebb29d47dc632d42,,,Failed to Create in SAP,2026-06-02T08:48:10.527Z
PO,PO-20260602-0004,6a1eb8838145db752d7a9a11,512,2600030,Created in SAP,2026-06-02T11:03:31.254Z
PO,PO-20260603-0001,6a1fe0c18179d647bd8e61a1,514,2600031,Created in SAP,2026-06-03T08:07:29.378Z
PO,PO-20260603-0002,6a1fe3578179d647bd8e65fb,515,2600032,Created in SAP,2026-06-03T08:18:31.214Z
PO,PO-20260607-0001,6a253946d438093adf602dc4,517,2600033,Created in SAP,2026-06-07T09:26:30.873Z
PO,PO-20260607-0002,6a2550ced438093adf603247,519,2600034,Created in SAP,2026-06-07T11:06:54.802Z
PO,PO-20260611-0004,6a2a757dbfff6c907a194298,78,2600007,created_in_sap,2026-06-11T08:44:45.929Z
PO,PO-20260611-0005,6a2aac486ca01e0d17a5839c,91,2600014,created_in_sap,2026-06-11T12:38:32.634Z
PO,PO-20260616-0001,6a30ffcdbb184f0520052427,81,2600008,created_in_sap,2026-06-16T07:48:29.247Z
PO,PO-20260616-0002,6a312de0bb184f0520052737,83,2600009,created_in_sap,2026-06-16T11:05:04.492Z
PO,PO-20260618-0001,6a33d5e02f3e2566836cf068,85,2600010,created_in_sap,2026-06-18T11:26:24.967Z
PO,PO-20260618-0002,6a33e4384f4eb174c8c72769,86,2600011,created_in_sap,2026-06-18T12:27:36.329Z
PO,PO-20260619-0001,6a358fcd20118278034f2632,88,2600012,created_in_sap,2026-06-19T18:51:57.329Z
PO,PO-20260619-0002,6a359fffc9d21ec43d781805,,,rejected,2026-06-19T20:01:03.482Z
PO,PO-20260619-0003,6a35a00fc9d21ec43d78182a,89,2600013,created_in_sap,2026-06-19T20:01:19.722Z
PO,PO-20260627-0001,6a3f839b1081f96700001563,,,failed_sap,2026-06-27T08:02:35.501Z
PO,PO-20260628-0001,6a411954fe378908f8ca9168,,,rejected,2026-06-28T12:53:40.321Z
PO,PO-20260628-0002,6a4163f0fe378908f8ca9356,95,2600015,created_in_sap,2026-06-28T18:12:00.641Z
PO,PO-20260628-0003,6a417ad44e5d2aff2ca85b6a,97,2600016,created_in_sap,2026-06-28T19:49:40.848Z
PO,PO-20260629-0001,6a424965d8719b8b0de89e6f,99,2600017,created_in_sap,2026-06-29T10:31:01.900Z
PO,PO-20260630-0001,6a435c41f3d9b4f054dc8b1c,102,2600018,created_in_sap,2026-06-30T06:03:45.864Z
PO,PO-20260630-0002,6a43b505f3d9b4f054dc9354,104,2600019,created_in_sap,2026-06-30T12:22:29.673Z
PO,PO-20260630-0003,6a43babef3d9b4f054dc946f,,,failed_sap,2026-06-30T12:46:55.001Z
PO,PO-20260702-0001,6a45fb5ef3d9b4f054dc9fc3,106,2600020,created_in_sap,2026-07-02T05:47:10.900Z
PO,PO-20260702-0002,6a465e39f3d9b4f054dca45d,108,2600021,created_in_sap,2026-07-02T12:48:57.862Z
PO,PO-20260705-0001,6a49fff7fd1ba4b504884887,111,2600022,created_in_sap,2026-07-05T06:55:51.294Z
PO,PO-20260712-0001,6a536a1df4f90f867f12bbce,113,2600023,created_in_sap,2026-07-12T10:19:09.179Z
PO,PO-20260713-0001,6a54b9ae0bec1447ca845fe3,115,2600024,created_in_sap,2026-07-13T10:10:54.203Z
APRI,APRI-20260523-0001,6a1196158f3680bbac697d87,,,failed_sap,2026-05-23T11:57:09.219Z
APRI,APRI-20260524-0001,6a12df21490a1a51223d5663,1179,2600071,created_in_sap,2026-05-24T11:21:05.660Z
APRI,APRI-20260525-0001,6a13fa50d6053ce48e563770,1182,2600072,created_in_sap,2026-05-25T07:29:20.528Z
APRI,APRI-20260531-0001,6a1c1ca1e6afd98e3ceacf5f,,,failed_sap,2026-05-31T11:33:53.092Z
APRI,APRI-20260531-0002,6a1c2b8d799a39d0e9ac266f,1185,2600073,created_in_sap,2026-05-31T12:37:33.896Z
APRI,APRI-20260531-0003,6a1c31b4ad8d46680c0af570,1187,2600074,created_in_sap,2026-05-31T13:03:48.575Z
APRI,APRI-20260601-0001,6a1d39faf54b5bf598d560a4,1189,2600075,created_in_sap,2026-06-01T07:51:22.343Z
APRI,APRI-20260602-0001,6a1e8d0eebb29d47dc6325a9,1191,2600076,created_in_sap,2026-06-02T07:58:06.875Z
APRI,APRI-20260602-0002,6a1ebe8e0d24fa68047638bd,1194,2600077,created_in_sap,2026-06-02T11:29:18.892Z
APRI,APRI-20260603-0001,6a1fe1428179d647bd8e62c7,1196,2600078,created_in_sap,2026-06-03T08:09:38.766Z
APRI,APRI-20260603-0002,6a1fe3bb8179d647bd8e6725,,,failed_sap,2026-06-03T08:20:11.395Z
APRI,APRI-20260607-0001,6a25535ed438093adf603356,1198,2600079,created_in_sap,2026-06-07T11:17:50.686Z
APRI,APRI-20260611-0001,6a2a81d03589f13272ad55ff,535,2600043,created_in_sap,2026-06-11T09:37:20.619Z
APRI,APRI-20260611-0002,6a2aa3eb83aaf3e62f971e37,,,failed_sap,2026-06-11T12:02:51.113Z
APRI,APRI-20260616-0001,6a3100f6bb184f05200525ac,537,2600044,created_in_sap,2026-06-16T07:53:26.936Z
APRI,APRI-20260616-0002,6a312e62bb184f0520052883,539,2600045,created_in_sap,2026-06-16T11:07:14.755Z
APRI,APRI-20260618-0001,6a33dfe8ffbde52bf4f864be,,,warehouse_rejected,2026-06-18T12:09:12.668Z
APRI,APRI-20260618-0002,6a33e4ad4f4eb174c8c7291c,543,2600047,created_in_sap,2026-06-18T12:29:33.941Z
APRI,APRI-20260619-0001,6a35906020118278034f276e,541,2600046,created_in_sap,2026-06-19T18:54:24.088Z
APRI,APRI-20260628-0001,6a416476fe378908f8ca94ac,545,2600048,created_in_sap,2026-06-28T18:14:14.471Z
APRI,APRI-20260629-0001,6a424bb6d8719b8b0de8a065,549,2600050,created_in_sap,2026-06-29T10:40:54.393Z
APRI,APRI-20260629-0002,6a424bc3d8719b8b0de8a07d,547,2600049,created_in_sap,2026-06-29T10:41:07.422Z
APRI,APRI-20260630-0001,6a435d3ff3d9b4f054dc8e06,551,2600051,created_in_sap,2026-06-30T06:07:59.740Z
APRI,APRI-20260630-0002,6a43bcb5f3d9b4f054dc96bb,554,2600052,created_in_sap,2026-06-30T12:55:17.251Z
APRI,APRI-20260702-0001,6a4655fbf3d9b4f054dca2c4,,,pending_warehouse,2026-07-02T12:13:47.314Z
APRI,APRI-20260702-0002,6a46647ef3d9b4f054dca5d9,557,2600053,created_in_sap,2026-07-02T13:15:42.424Z
APRI,APRI-20260705-0001,6a4a01a7fd1ba4b504884a1a,559,2600054,created_in_sap,2026-07-05T07:03:03.583Z
APRI,APRI-20260712-0001,6a536ea3f4f90f867f12bf11,561,2600055,created_in_sap,2026-07-12T10:38:27.584Z
APRI,APRI-20260713-0001,6a54aeebf4f90f867f12c311,,,warehouse_rejected,2026-07-13T09:24:59.432Z
APRI,APRI-20260713-0002,6a54ba740bec1447ca846160,563,2600056,created_in_sap,2026-07-13T10:14:12.282Z
LOCAL_PURCHASE,LP-20260620-0001,6a36221ca353e33f7580e43a,,,draft,2026-06-20T05:16:12.517Z
LOCAL_PURCHASE,LP-20260620-0002,6a362ccd20566ae422d1f6fa,,,draft,2026-06-20T06:01:49.674Z
LOCAL_PURCHASE,LP-20260620-0003,6a362fb2dc1ed519984b71ed,,,completed,2026-06-20T06:14:10.634Z
LOCAL_PURCHASE,LP-20260620-0004,6a3632531721d6e98a80606e,,,completed,2026-06-20T06:25:23.029Z
LOCAL_PURCHASE,LP-20260620-0005,6a363575b5cb1e6faf28261d,,,completed,2026-06-20T06:38:45.521Z
LOCAL_PURCHASE,LP-20260620-0006,6a363f4daa010d2f65676e47,,,pending_pm,2026-06-20T07:20:45.879Z
LOCAL_PURCHASE,LP-20260620-0007,6a3652b71b59be05af718f81,,,completed,2026-06-20T08:43:35.409Z
